provider,threshold_quantile,threshold,window_minutes,metric,method,estimate,test_events
Google 2019,0.9,0.5179171281803661,120,event_recall,maximum,1.0,133
Google 2019,0.9,0.5179171281803661,120,forecast_average_precision,persistence,0.4804699219921992,33
Google 2019,0.9,0.5179171281803661,120,forecast_average_precision,two_snapshots,0.6017621837850466,33
Google 2019,0.9,0.5179171281803661,120,forecast_average_precision,satcap,0.6714758135643835,33
Google 2019,0.95,0.528999460609866,120,event_recall,snapshot,0.2839506172839506,81
Google 2019,0.95,0.528999460609866,120,event_recall,mean,0.1728395061728395,81
Google 2019,0.95,0.528999460609866,120,event_recall,p95,0.691358024691358,81
Google 2019,0.95,0.528999460609866,120,event_recall,maximum,1.0,81
Google 2019,0.95,0.528999460609866,120,forecast_average_precision,persistence,0.48158887317303156,21
Google 2019,0.95,0.528999460609866,120,forecast_average_precision,two_snapshots,0.5804446238084624,21
Google 2019,0.95,0.528999460609866,120,forecast_average_precision,satcap,0.7011606918528182,21
Google 2019,0.99,0.5509037744016557,120,event_recall,snapshot,0.12121212121212122,33
Google 2019,0.99,0.5509037744016557,120,event_recall,mean,0.09090909090909091,33
Google 2019,0.99,0.5509037744016557,120,event_recall,p95,0.696969696969697,33
Google 2019,0.99,0.5509037744016557,120,event_recall,maximum,1.0,33
Google 2019,0.99,0.5509037744016557,120,forecast_average_precision,persistence,0.35375137513751376,15
Google 2019,0.99,0.5509037744016557,120,forecast_average_precision,two_snapshots,0.3785509095311377,15
Google 2019,0.99,0.5509037744016557,120,forecast_average_precision,satcap,0.42877214861538837,15
Alibaba 2018,0.8,0.4785402778800099,30,event_recall,snapshot,0.5333333333333333,150
Alibaba 2018,0.8,0.4785402778800099,30,event_recall,mean,0.5266666666666666,150
Alibaba 2018,0.8,0.4785402778800099,30,event_recall,p95,0.8866666666666667,150
Alibaba 2018,0.8,0.4785402778800099,30,event_recall,maximum,1.0,150
Alibaba 2018,0.8,0.4785402778800099,30,forecast_average_precision,persistence,0.6239285714285714,50
Alibaba 2018,0.8,0.4785402778800099,30,forecast_average_precision,two_snapshots,0.7787655051618798,50
Alibaba 2018,0.8,0.4785402778800099,30,forecast_average_precision,satcap,0.8218759948926666,50
Alibaba 2018,0.9,0.5363382252188952,30,event_recall,snapshot,0.5862068965517241,87
Alibaba 2018,0.9,0.5363382252188952,30,event_recall,mean,0.3103448275862069,87
Alibaba 2018,0.9,0.5363382252188952,30,event_recall,p95,0.9080459770114943,87
Alibaba 2018,0.9,0.5363382252188952,30,event_recall,maximum,1.0,87
Alibaba 2018,0.9,0.5363382252188952,30,forecast_average_precision,persistence,0.46798393913778535,26
Alibaba 2018,0.9,0.5363382252188952,30,forecast_average_precision,two_snapshots,0.6748014471600967,26
Alibaba 2018,0.9,0.5363382252188952,30,forecast_average_precision,satcap,0.7120266880053319,26
Alibaba 2018,0.95,0.5754546775895318,30,event_recall,snapshot,0.5306122448979592,49
Alibaba 2018,0.95,0.5754546775895318,30,event_recall,mean,0.2857142857142857,49
Alibaba 2018,0.95,0.5754546775895318,30,event_recall,p95,0.8163265306122449,49
Alibaba 2018,0.95,0.5754546775895318,30,event_recall,maximum,1.0,49
Alibaba 2018,0.95,0.5754546775895318,30,forecast_average_precision,persistence,0.28920634920634924,15
Alibaba 2018,0.95,0.5754546775895318,30,forecast_average_precision,two_snapshots,0.5274241799794289,15
Alibaba 2018,0.95,0.5754546775895318,30,forecast_average_precision,satcap,0.5973235887622186,15
Alibaba 2018,0.99,0.6564302134365159,30,event_recall,snapshot,0.3333333333333333,12
Alibaba 2018,0.99,0.6564302134365159,30,event_recall,mean,0.16666666666666666,12
Alibaba 2018,0.99,0.6564302134365159,30,event_recall,p95,0.9166666666666666,12
Alibaba 2018,0.99,0.6564302134365159,30,event_recall,maximum,1.0,12
Alibaba 2018,0.99,0.6564302134365159,30,forecast_average_precision,persistence,0.26785714285714285,4
Alibaba 2018,0.99,0.6564302134365159,30,forecast_average_precision,two_snapshots,0.19946236559139785,4
Alibaba 2018,0.99,0.6564302134365159,30,forecast_average_precision,satcap,0.6166666666666667,4
Alibaba 2018,0.8,0.4785402778800099,60,event_recall,snapshot,0.5425531914893617,94
Alibaba 2018,0.8,0.4785402778800099,60,event_recall,mean,0.3829787234042553,94
Alibaba 2018,0.8,0.4785402778800099,60,event_recall,p95,0.8191489361702128,94
Alibaba 2018,0.8,0.4785402778800099,60,event_recall,maximum,1.0,94
Alibaba 2018,0.8,0.4785402778800099,60,forecast_average_precision,persistence,0.7651515151515151,33
Alibaba 2018,0.8,0.4785402778800099,60,forecast_average_precision,two_snapshots,0.8922631562303874,33
Alibaba 2018,0.8,0.4785402778800099,60,forecast_average_precision,satcap,0.9256748355845079,33
Alibaba 2018,0.9,0.5363382252188952,60,event_recall,snapshot,0.5254237288135594,59
Alibaba 2018,0.9,0.5363382252188952,60,event_recall,mean,0.2033898305084746,59
Alibaba 2018,0.9,0.5363382252188952,60,event_recall,p95,0.7966101694915254,59
Alibaba 2018,0.9,0.5363382252188952,60,event_recall,maximum,1.0,59
Alibaba 2018,0.9,0.5363382252188952,60,forecast_average_precision,persistence,0.5777310924369748,18
Alibaba 2018,0.9,0.5363382252188952,60,forecast_average_precision,two_snapshots,0.7680534283066962,18
Alibaba 2018,0.9,0.5363382252188952,60,forecast_average_precision,satcap,0.7973705343233637,18
