trial,worker,mode,sample,window,cpu,memory
0,1,raw,0,0,0.115,0.2757161458333333
0,1,raw,1,0,0.23,0.2865397135416667
0,1,raw,2,0,0.314,0.2644856770833333
0,1,raw,3,0,0.345,0.5353190104166666
0,1,raw,4,0,0.35600000000000004,0.2652180989583333
0,1,raw,5,0,0.34600000000000003,0.447509765625
0,1,raw,6,0,0.34600000000000003,0.6949055989583334
0,1,raw,7,0,0.35700000000000004,0.6949055989583334
0,1,raw,8,0,0.39299999999999996,0.6949055989583334
0,1,raw,9,0,0.317,0.6949055989583334
0,1,raw,10,0,0.397,0.6949055989583334
0,1,raw,11,0,0.397,0.6949055989583334
0,1,raw,12,0,0.278,0.6949055989583334
0,1,raw,13,0,0.23800000000000002,0.6949055989583334
0,1,raw,14,0,0.237,0.6949055989583334
0,1,raw,15,0,0.237,0.6949055989583334
0,1,raw,16,0,0.198,0.6949055989583334
0,1,raw,17,0,0.158,0.6949055989583334
0,1,raw,18,0,0.158,0.6949055989583334
0,1,raw,19,0,0.079,0.6949055989583334
0,1,raw,20,1,0.079,0.6949055989583334
0,1,raw,21,1,0.039,0.6949055989583334
0,1,raw,22,1,0.04,0.6949055989583334
0,1,raw,23,1,0.079,0.7808430989583334
0,1,raw,24,1,0.04,0.7808430989583334
0,1,raw,25,1,0.079,0.7808430989583334
0,1,raw,26,1,0.039,0.23111979166666666
0,1,raw,27,1,0.078,0.494140625
0,1,raw,28,1,0.156,0.7154947916666666
0,1,raw,29,1,0.157,0.7154947916666666
0,1,raw,30,1,0.198,0.7154947916666666
0,1,raw,31,1,0.11900000000000001,0.7154947916666666
0,1,raw,32,1,0.316,0.7154947916666666
0,1,raw,33,1,0.27699999999999997,0.7154947916666666
0,1,raw,34,1,0.95,0.7154947916666666
0,1,raw,35,1,0.396,0.7154947916666666
0,1,raw,36,1,0.35600000000000004,0.7154947916666666
0,1,raw,37,1,0.35600000000000004,0.7154947916666666
0,1,raw,38,1,0.435,0.7154947916666666
0,1,raw,39,1,0.317,0.7154947916666666
0,1,raw,40,2,0.317,0.7154947916666666
0,1,raw,41,2,0.35100000000000003,0.3155110677083333
0,1,raw,42,2,0.313,0.261962890625
0,1,raw,43,2,0.35200000000000004,0.5145670572916666
0,1,raw,44,2,0.195,0.5145670572916666
0,1,raw,45,2,0.87,0.5145670572916666
0,1,raw,46,2,0.8220000000000001,0.746337890625
0,1,raw,47,2,0.7440000000000001,0.746337890625
0,1,raw,48,2,0.82,0.746337890625
0,1,raw,49,2,0.8290000000000001,0.746337890625
0,1,raw,50,2,0.04,0.746337890625
0,1,raw,51,2,0.079,0.746337890625
0,1,raw,52,2,0.04,0.746337890625
0,1,raw,53,2,0.078,0.746337890625
0,1,raw,54,2,0.04,0.746337890625
0,1,raw,55,2,0.079,0.746337890625
0,1,raw,56,2,0.078,0.746337890625
0,1,raw,57,2,0.079,0.746337890625
0,1,raw,58,2,0.196,0.746337890625
0,1,raw,59,2,0.11699999999999999,0.746337890625
0,1,raw,60,3,0.753,0.746337890625
0,1,raw,61,3,0.7809999999999999,0.746337890625
0,1,raw,62,3,0.27699999999999997,0.746337890625
0,1,raw,63,3,0.198,0.746337890625
0,1,raw,64,3,0.315,0.746337890625
0,1,raw,65,3,0.35700000000000004,0.746337890625
0,1,raw,66,3,0.27699999999999997,0.746337890625
0,1,raw,67,3,0.317,0.746337890625
0,1,raw,68,3,0.435,0.746337890625
0,1,raw,69,3,0.35600000000000004,0.746337890625
0,1,raw,70,3,0.396,0.746337890625
0,1,raw,71,3,0.317,0.746337890625
0,1,raw,72,3,0.35700000000000004,0.746337890625
0,1,raw,73,3,0.951,0.746337890625
0,1,raw,74,3,0.35700000000000004,0.746337890625
0,1,raw,75,3,0.317,0.746337890625
0,1,raw,76,3,0.237,0.746337890625
0,1,raw,77,3,0.23800000000000002,0.746337890625
0,1,raw,78,3,0.079,0.746337890625
0,1,raw,79,3,0.19699999999999998,0.19051106770833334
0,3,raw,0,0,0.26899999999999996,0.24186197916666666
0,3,raw,1,0,0.35,0.19612630208333334
0,3,raw,2,0,0.39299999999999996,0.24462890625
0,3,raw,3,0,0.307,0.4972330729166667
0,3,raw,4,0,0.99,0.24519856770833334
0,3,raw,5,0,0.9159999999999999,0.505615234375
0,3,raw,6,0,0.9109999999999999,0.24527994791666666
0,3,raw,7,0,0.943,0.4666341145833333
0,3,raw,8,0,0.912,0.4666341145833333
0,3,raw,9,0,0.9109999999999999,0.4666341145833333
0,3,raw,10,0,0.237,0.4666341145833333
0,3,raw,11,0,0.23800000000000002,0.4666341145833333
0,3,raw,12,0,0.235,0.6202799479166666
0,3,raw,13,0,0.198,0.6202799479166666
0,3,raw,14,0,0.157,0.6202799479166666
0,3,raw,15,0,0.079,0.6202799479166666
0,3,raw,16,0,0.079,0.6202799479166666
0,3,raw,17,0,0.04,0.6202799479166666
0,3,raw,18,0,0.079,0.6202799479166666
0,3,raw,19,0,0.04,0.6202799479166666
0,3,raw,20,1,0.6579999999999999,0.6202799479166666
0,3,raw,21,1,0.078,0.68798828125
0,3,raw,22,1,0.039,0.68798828125
0,3,raw,23,1,0.04,0.68798828125
0,3,raw,24,1,0.079,0.68798828125
0,3,raw,25,1,0.11900000000000001,0.68798828125
0,3,raw,26,1,0.11900000000000001,0.68798828125
0,3,raw,27,1,0.11900000000000001,0.68798828125
0,3,raw,28,1,0.196,0.68798828125
0,3,raw,29,1,0.19699999999999998,0.68798828125
0,3,raw,30,1,0.276,0.68798828125
0,3,raw,31,1,0.273,0.68798828125
0,3,raw,32,1,0.27699999999999997,0.68798828125
0,3,raw,33,1,0.317,0.68798828125
0,3,raw,34,1,0.314,0.68798828125
0,3,raw,35,1,0.35700000000000004,0.68798828125
0,3,raw,36,1,0.35600000000000004,0.69580078125
0,3,raw,37,1,0.396,0.69580078125
0,3,raw,38,1,0.27699999999999997,0.69580078125
0,3,raw,39,1,0.396,0.69580078125
0,3,raw,40,2,0.396,0.69580078125
0,3,raw,41,2,0.35700000000000004,0.69580078125
0,3,raw,42,2,0.27699999999999997,0.69580078125
0,3,raw,43,2,0.198,0.69580078125
0,3,raw,44,2,0.19699999999999998,0.71142578125
0,3,raw,45,2,0.198,0.71142578125
0,3,raw,46,2,0.158,0.71142578125
0,3,raw,47,2,0.079,0.71142578125
0,3,raw,48,2,0.079,0.71142578125
0,3,raw,49,2,0.079,0.71142578125
0,3,raw,50,2,0.039,0.7530924479166666
0,3,raw,51,2,0.079,0.7530924479166666
0,3,raw,52,2,0.633,0.7530924479166666
0,3,raw,53,2,0.158,0.7530924479166666
0,3,raw,54,2,0.039,0.7530924479166666
0,3,raw,55,2,0.079,0.7530924479166666
0,3,raw,56,2,0.11900000000000001,0.7530924479166666
0,3,raw,57,2,0.079,0.7530924479166666
0,3,raw,58,2,0.158,0.224609375
0,3,raw,59,2,0.157,0.380859375
0,3,raw,60,3,0.235,0.6048177083333334
0,3,raw,61,3,0.198,0.6048177083333334
0,3,raw,62,3,0.35600000000000004,0.6048177083333334
0,3,raw,63,3,0.23600000000000002,0.740234375
0,3,raw,64,3,0.35600000000000004,0.740234375
0,3,raw,65,3,0.9079999999999999,0.740234375
0,3,raw,66,3,0.9490000000000001,0.740234375
0,3,raw,67,3,0.948,0.740234375
0,3,raw,68,3,0.9390000000000001,0.20377604166666666
0,3,raw,69,3,0.94,0.4173177083333333
0,3,raw,70,3,0.35,0.677734375
0,3,raw,71,3,0.35600000000000004,0.677734375
0,3,raw,72,3,0.317,0.677734375
0,3,raw,73,3,0.35,0.30615234375
0,3,raw,74,3,0.27399999999999997,0.2899576822916667
0,3,raw,75,3,0.313,0.552978515625
0,3,raw,76,3,0.235,0.8290201822916666
0,3,raw,77,3,0.198,0.5533040364583334
0,3,raw,78,3,0.11800000000000001,0.5533040364583334
0,3,raw,79,3,0.11900000000000001,0.5533040364583334
0,2,raw,0,0,0.23399999999999999,0.2626953125
0,2,raw,1,0,0.34700000000000003,0.269775390625
0,2,raw,2,0,0.31,0.220458984375
0,2,raw,3,0,0.353,0.462646484375
0,2,raw,4,0,0.419,0.6944173177083334
0,2,raw,5,0,0.35100000000000003,0.6944173177083334
0,2,raw,6,0,0.35600000000000004,0.697021484375
0,2,raw,7,0,0.435,0.697021484375
0,2,raw,8,0,0.435,0.697021484375
0,2,raw,9,0,0.35600000000000004,0.697021484375
0,2,raw,10,0,0.273,0.2998046875
0,2,raw,11,0,0.353,0.22526041666666666
0,2,raw,12,0,0.23600000000000002,0.4075520833333333
0,2,raw,13,0,0.273,0.6471354166666666
0,2,raw,14,0,0.157,0.6471354166666666
0,2,raw,15,0,0.159,0.6471354166666666
0,2,raw,16,0,0.708,0.8715006510416666
0,2,raw,17,0,0.19399999999999998,0.20369466145833334
0,2,raw,18,0,0.079,0.3911946614583333
0,2,raw,19,0,0.039,0.6490071614583334
0,2,raw,20,1,0.75,0.8717447916666666
0,2,raw,21,1,0.039,0.250732421875
0,2,raw,22,1,0.11800000000000001,0.4720865885416667
0,2,raw,23,1,0.039,0.735107421875
0,2,raw,24,1,0.079,0.4728190104166667
0,2,raw,25,1,0.725,1.0
0,2,raw,26,1,0.758,1.0
0,2,raw,27,1,0.789,1.0
0,2,raw,28,1,0.794,1.0
0,2,raw,29,1,0.877,1.0
0,2,raw,30,1,0.276,0.472900390625
0,2,raw,31,1,0.35600000000000004,0.4755045572916667
0,2,raw,32,1,0.317,0.4755045572916667
0,2,raw,33,1,0.35600000000000004,0.4755045572916667
0,2,raw,34,1,0.313,0.7020670572916666
0,2,raw,35,1,0.317,0.7020670572916666
0,2,raw,36,1,0.35600000000000004,0.7020670572916666
0,2,raw,37,1,0.35600000000000004,0.7020670572916666
0,2,raw,38,1,0.396,0.7020670572916666
0,2,raw,39,1,0.35600000000000004,0.7098795572916666
0,2,raw,40,2,0.35700000000000004,0.7098795572916666
0,2,raw,41,2,0.317,0.7098795572916666
0,2,raw,42,2,0.27699999999999997,0.7098795572916666
0,2,raw,43,2,0.317,0.7098795572916666
0,2,raw,44,2,0.903,0.863037109375
0,2,raw,45,2,0.195,0.23421223958333334
0,2,raw,46,2,0.157,0.4842122395833333
0,2,raw,47,2,0.11900000000000001,0.4842122395833333
0,2,raw,48,2,0.079,0.4842122395833333
0,2,raw,49,2,0.11800000000000001,0.6378580729166666
0,2,raw,50,2,0.04,0.6378580729166666
0,2,raw,51,2,0.079,0.6378580729166666
0,2,raw,52,2,0.04,0.6691080729166666
0,2,raw,53,2,0.079,0.6691080729166666
0,2,raw,54,2,0.6859999999999999,0.833251953125
0,2,raw,55,2,0.078,0.197265625
0,2,raw,56,2,0.078,0.462890625
0,2,raw,57,2,0.11699999999999999,0.4740397135416667
0,2,raw,58,2,0.156,0.4659016927083333
0,2,raw,59,2,0.11800000000000001,0.2771809895833333
0,2,raw,60,3,0.19699999999999998,0.4620768229166667
0,2,raw,61,3,0.27699999999999997,0.4620768229166667
0,2,raw,62,3,0.158,0.4620768229166667
0,2,raw,63,3,0.433,0.61572265625
0,2,raw,64,3,0.27699999999999997,0.61572265625
0,2,raw,65,3,0.27699999999999997,0.61572265625
0,2,raw,66,3,0.39399999999999996,0.7198893229166666
0,2,raw,67,3,0.395,0.7198893229166666
0,2,raw,68,3,0.396,0.7198893229166666
0,2,raw,69,3,0.316,0.7198893229166666
0,2,raw,70,3,0.396,0.7198893229166666
0,2,raw,71,3,0.39399999999999996,0.7198893229166666
0,2,raw,72,3,0.27699999999999997,0.7198893229166666
0,2,raw,73,3,0.27699999999999997,0.7198893229166666
0,2,raw,74,3,0.27699999999999997,0.7198893229166666
0,2,raw,75,3,0.27699999999999997,0.7198893229166666
0,2,raw,76,3,0.23800000000000002,0.7198893229166666
0,2,raw,77,3,0.198,0.7198893229166666
0,2,raw,78,3,0.079,0.7198893229166666
0,2,raw,79,3,0.079,0.7198893229166666
0,0,raw,0,0,0.11800000000000001,0.197265625
0,0,raw,1,0,0.307,0.228271484375
0,0,raw,2,0,0.271,0.24886067708333334
0,0,raw,3,0,0.31,0.24462890625
0,0,raw,4,0,0.42100000000000004,0.22420247395833334
0,0,raw,5,0,0.925,1.0
0,0,raw,6,0,0.909,0.9940592447916666
0,0,raw,7,0,0.955,0.9979654947916666
0,0,raw,8,0,0.9159999999999999,0.9820149739583334
0,0,raw,9,0,0.9490000000000001,1.0
0,0,raw,10,0,0.43,0.47021484375
0,0,raw,11,0,0.395,0.22493489583333334
0,0,raw,12,0,0.315,0.3863932291666667
0,0,raw,13,0,0.275,0.6103515625
0,0,raw,14,0,0.317,0.6103515625
0,0,raw,15,0,0.23800000000000002,0.6103515625
0,0,raw,16,0,0.198,0.6103515625
0,0,raw,17,0,0.11900000000000001,0.6103515625
0,0,raw,18,0,0.158,0.6103515625
0,0,raw,19,0,0.11900000000000001,0.6103515625
0,0,raw,20,1,0.11900000000000001,0.6103515625
0,0,raw,21,1,0.079,0.6442057291666666
0,0,raw,22,1,0.04,0.6442057291666666
0,0,raw,23,1,0.04,0.6442057291666666
0,0,raw,24,1,0.079,0.6442057291666666
0,0,raw,25,1,0.039,0.6442057291666666
0,0,raw,26,1,0.04,0.6442057291666666
0,0,raw,27,1,0.079,0.6442057291666666
0,0,raw,28,1,0.079,0.6442057291666666
0,0,raw,29,1,0.156,0.3042805989583333
0,0,raw,30,1,0.078,0.2511393229166667
0,0,raw,31,1,0.157,0.42041015625
0,0,raw,32,1,0.196,0.6521809895833334
0,0,raw,33,1,0.23800000000000002,0.6521809895833334
0,0,raw,34,1,0.396,0.6521809895833334
0,0,raw,35,1,0.27699999999999997,0.6521809895833334
0,0,raw,36,1,0.317,0.6521809895833334
0,0,raw,37,1,0.35600000000000004,0.69384765625
0,0,raw,38,1,0.35100000000000003,0.69384765625
0,0,raw,39,1,0.35200000000000004,0.69384765625
0,0,raw,40,2,0.39,0.69384765625
0,0,raw,41,2,0.43,0.69384765625
0,0,raw,42,2,0.317,0.69384765625
0,0,raw,43,2,0.35600000000000004,0.69384765625
0,0,raw,44,2,0.317,0.69384765625
0,0,raw,45,2,0.27699999999999997,0.69384765625
0,0,raw,46,2,0.237,0.7198893229166666
0,0,raw,47,2,0.198,0.7198893229166666
0,0,raw,48,2,0.198,0.7198893229166666
0,0,raw,49,2,0.11900000000000001,0.7198893229166666
0,0,raw,50,2,0.11900000000000001,0.7198893229166666
0,0,raw,51,2,0.079,0.7355143229166666
0,0,raw,52,2,0.04,0.7355143229166666
0,0,raw,53,2,0.079,0.7355143229166666
0,0,raw,54,2,0.04,0.7355143229166666
0,0,raw,55,2,0.079,0.7355143229166666
0,0,raw,56,2,0.039,0.77197265625
0,0,raw,57,2,0.04,0.77197265625
0,0,raw,58,2,0.079,0.77197265625
