resource,ap_difference_maximum_count_minus_persistence,mean_vm_brier_improvement,cluster_ci_low,cluster_ci_high,bootstrap_replicates
cpu,0.22211343249268634,0.0010503573554588113,0.000667401088410559,0.0013866228769632619,2000
memory,0.09778666535287235,3.3371243259642094e-05,-3.5449661613673636e-06,7.151349782447651e-05,2000
disk,0.09017059134025873,0.004705687700728032,0.0023873098118912944,0.00719020751690544,2000
network,0.17190316897173125,0.007776723697515188,0.005659353346649821,0.0099884265344042,2000
