resource,analysis,test_n,test_events,average_precision,brier,roc_auc,ece_10,calibration_intercept,calibration_slope
cpu,within_rnd,284314,2453,0.7376777071821397,0.0035297643334182955,0.922485726973295,0.0007117342239389402,-0.3413602089740798,0.9408884787022632
cpu,frozen_coefficients,284314,2453,0.7376583588440048,0.003538822817620717,0.922485657549444,0.0014263398935692403,-0.3837697684318237,0.9792697736457338
memory,within_rnd,292190,437,0.3726598425601334,0.001125238601235723,0.7928578397414175,0.00029668520948940486,-0.12203679771916319,0.9420274786468226
memory,frozen_coefficients,292190,437,0.3728136901120638,0.0011468058667895814,0.7928580240608375,0.0005896742367573059,-0.7473276669055895,0.8132167465605867
disk,within_rnd,293540,32274,0.296201894412028,0.0873717695956336,0.5601057320925982,0.012417316393139888,0.793149803460332,1.291664609765518
disk,frozen_coefficients,293540,32274,0.2962019479590961,0.08726128542350113,0.5601057852822021,0.010275968619229811,0.8046556265229413,1.3511236946329277
network,within_rnd,293540,21152,0.3569951530857772,0.053483399206846416,0.59169489347585,0.007971834486834296,0.2982285449184279,1.0603383877827006
network,frozen_coefficients,293540,21152,0.35765570347967696,0.053696227650133974,0.5917069884829567,0.005745935926915413,0.3178325406238978,1.0906346382336491
