policy,provisioning_delay_epochs,metric,mean,ci_low,ci_high,seeds
no_action,0,p95_latency_ms,39.49675,38.7171125,40.23752500000001,100
no_action,0,p99_latency_ms,47.551800000000014,46.74730875,48.32795750000001,100
no_action,0,sla_violation_fraction,0.48668938192492156,0.4656150713292485,0.5077191417157291,100
no_action,0,scale_fraction,0.0,0.0,0.0,100
no_action,0,event_coverage_fraction,0.0,0.0,0.0,100
no_action,0,worker_epoch_cost,100.0,100.0,100.0,100
no_action,1,p95_latency_ms,39.49675,38.689956249999994,40.245618750000006,100
no_action,1,p99_latency_ms,47.551800000000014,46.70923750000001,48.30086375000002,100
no_action,1,sla_violation_fraction,0.48668938192492156,0.46535140192942104,0.5079073301312135,100
no_action,1,scale_fraction,0.0,0.0,0.0,100
no_action,1,event_coverage_fraction,0.0,0.0,0.0,100
no_action,1,worker_epoch_cost,100.0,100.0,100.0,100
no_action,2,p95_latency_ms,39.49675,38.660700000000006,40.2538375,100
no_action,2,p99_latency_ms,47.551800000000014,46.80172500000002,48.33397250000002,100
no_action,2,sla_violation_fraction,0.48668938192492156,0.46475914147013,0.5078250480387431,100
no_action,2,scale_fraction,0.0,0.0,0.0,100
no_action,2,event_coverage_fraction,0.0,0.0,0.0,100
no_action,2,worker_epoch_cost,100.0,100.0,100.0,100
reactive,0,p95_latency_ms,17.278,16.109968749999993,18.405724999999993,100
reactive,0,p99_latency_ms,31.133400000000005,29.221931250000015,33.06200375,100
reactive,0,sla_violation_fraction,0.08854589516182088,0.08122056782333081,0.09571660479453932,100
reactive,0,scale_fraction,0.5994,0.5696000000000001,0.6277999999999999,100
reactive,0,event_coverage_fraction,0.7480271612004914,0.7211466214675988,0.7734183465719845,100
reactive,0,worker_epoch_cost,189.91,185.62,194.38,100
reactive,1,p95_latency_ms,22.61974999999999,21.240487499999997,24.01731249999999,100
reactive,1,p99_latency_ms,36.87305,35.18464125000001,38.46827625,100
reactive,1,sla_violation_fraction,0.12605030852868798,0.1169770332819016,0.13575260043543919,100
reactive,1,scale_fraction,0.5977999999999999,0.56879,0.6272,100
reactive,1,event_coverage_fraction,0.7021261939750103,0.6751973309120783,0.7280724132296875,100
reactive,1,worker_epoch_cost,189.67,185.13924999999998,194.14,100
reactive,2,p95_latency_ms,25.696249999999996,24.42995625,27.099943749999994,100
reactive,2,p99_latency_ms,39.14900000000001,37.6770275,40.47875375,100
reactive,2,sla_violation_fraction,0.15003554710080103,0.13940588126244965,0.16029622679856254,100
reactive,2,scale_fraction,0.5967999999999999,0.5672,0.6255999999999999,100
reactive,2,event_coverage_fraction,0.6692795535694915,0.6394892754141189,0.6979283693231244,100
reactive,2,worker_epoch_cost,189.52,185.2885,194.35074999999998,100
snapshot,0,p95_latency_ms,18.88375,17.416456250000003,20.388256249999998,100
snapshot,0,p99_latency_ms,31.595699999999997,29.410533749999995,33.620749999999994,100
snapshot,0,sla_violation_fraction,0.11083273540635102,0.09313739835391534,0.13110453037111705,100
snapshot,0,scale_fraction,0.6476000000000001,0.610795,0.6855999999999999,100
snapshot,0,event_coverage_fraction,0.7429185810492461,0.7008746241093212,0.7825560184986968,100
snapshot,0,worker_epoch_cost,197.14,191.56,202.39,100
snapshot,1,p95_latency_ms,21.80375,20.03711249999999,23.59754375,100
snapshot,1,p99_latency_ms,35.07900000000001,33.00955625,37.01364750000001,100
snapshot,1,sla_violation_fraction,0.13115964271857408,0.11311998935451627,0.15116395362714444,100
snapshot,1,scale_fraction,0.6481999999999999,0.611,0.6851999999999998,100
snapshot,1,event_coverage_fraction,0.7243544921540616,0.6858896648572591,0.7620354967584313,100
snapshot,1,worker_epoch_cost,197.23,191.37924999999998,202.57224999999997,100
snapshot,2,p95_latency_ms,23.561749999999996,21.836400000000005,25.273543749999998,100
snapshot,2,p99_latency_ms,36.33395,34.45766500000001,38.085381250000005,100
