model,feature_set,train_n,test_n,test_events,average_precision,brier,mean_log_score,roc_auc
logistic,log_sketch,532319,228835,2927,0.7354144793434363,0.005540807892602413,-0.02532597262290393,0.9352043214691755
hist_gradient_boosting,log_sketch,532319,228835,2927,0.7362288023313661,0.005469705131623976,-0.02398128720421813,0.9674843531184261
logistic,maximum_count,532319,228835,2927,0.7412760566806145,0.005490065533306512,-0.02520346820198518,0.9352133364496139
hist_gradient_boosting,maximum_count,532319,228835,2927,0.7378131161410099,0.00541328911949527,-0.023831346264857695,0.9676385469408625
