resource,analysis,bin,n,mean_predicted_probability,observed_event_rate
cpu,within_rnd,1,28432,0.0010525028643448633,0.0
cpu,within_rnd,2,28432,0.0010670595847684077,0.0024268429938097916
cpu,within_rnd,3,28432,0.0010805718650406168,0.0027433877321328083
cpu,within_rnd,4,28432,0.0011048525409878514,0.0014068655036578502
cpu,within_rnd,5,28431,0.0011204971236232807,0.0005979388695438078
cpu,within_rnd,6,28431,0.001150624046817461,0.0007034574935809504
cpu,within_rnd,7,28431,0.0011765774726333249,0.0007738032429390454
cpu,within_rnd,8,28431,0.001238103432118557,0.0008089761176180929
cpu,within_rnd,9,28431,0.001542858087506128,0.002251063979459041
cpu,within_rnd,10,28431,0.08186551041943227,0.07456649431958073
cpu,frozen_coefficients,1,28432,0.0013649403026304435,0.0
cpu,frozen_coefficients,2,28432,0.0013840434778933106,0.0024268429938097916
cpu,frozen_coefficients,3,28432,0.0014017781810585239,0.0027433877321328083
cpu,frozen_coefficients,4,28432,0.0014336530557899753,0.0014068655036578502
cpu,frozen_coefficients,5,28431,0.001454194876955196,0.0005979388695438078
cpu,frozen_coefficients,6,28431,0.0014937621269167538,0.0007034574935809504
cpu,frozen_coefficients,7,28431,0.0015278573258952404,0.0007738032429390454
cpu,frozen_coefficients,8,28431,0.0016087253440888378,0.0008089761176180929
cpu,frozen_coefficients,9,28431,0.0020100766200450084,0.002251063979459041
cpu,frozen_coefficients,10,28431,0.08537009028360242,0.07456649431958073
memory,within_rnd,1,29219,0.00021179736181597963,0.0011294021013723947
memory,within_rnd,2,29219,0.00022833360026228635,0.00034224306102193777
memory,within_rnd,3,29219,0.00024519189649333743,0.00037646736712413156
memory,within_rnd,4,29219,0.00026260802778465083,0.0005133645915329066
memory,within_rnd,5,29219,0.0002843278378475681,0.00037646736712413156
memory,within_rnd,6,29219,0.00031510398445621946,0.0008556076525548445
memory,within_rnd,7,29219,0.0003727048515540619,0.0005133645915329066
memory,within_rnd,8,29219,0.0005552599334938117,0.0006502618159416818
memory,within_rnd,9,29219,0.0012317473503200527,0.000924056264759232
memory,within_rnd,10,29219,0.009461289053616373,0.009274786953694514
memory,frozen_coefficients,1,29219,0.00015971432315609743,0.0011294021013723947
memory,frozen_coefficients,2,29219,0.00017180898471878442,0.00034224306102193777
memory,frozen_coefficients,3,29219,0.00018411241461041108,0.00037646736712413156
memory,frozen_coefficients,4,29219,0.00019679761002300096,0.0005133645915329066
memory,frozen_coefficients,5,29219,0.0002125823113413848,0.00037646736712413156
memory,frozen_coefficients,6,29219,0.00023488914654642878,0.0008556076525548445
memory,frozen_coefficients,7,29219,0.0002764631671061931,0.0005133645915329066
memory,frozen_coefficients,8,29219,0.0004069894429500213,0.0006502618159416818
memory,frozen_coefficients,9,29219,0.000882091831391074,0.000924056264759232
memory,frozen_coefficients,10,29219,0.010019349435571253,0.009274786953694514
disk,within_rnd,1,29354,0.07655012619133371,0.14263814130953192
disk,within_rnd,2,29354,0.07656096576446499,0.11388567145874498
disk,within_rnd,3,29354,0.07658875206979092,0.09504667166314643
disk,within_rnd,4,29354,0.07662794394852128,0.0755604006268311
disk,within_rnd,5,29354,0.07666139680835425,0.08768821966341896
disk,within_rnd,6,29354,0.07668074188735094,0.070859167404783
disk,within_rnd,7,29354,0.07669177602098891,0.07259657968249643
disk,within_rnd,8,29354,0.07669812885287232,0.05566532670164202
disk,within_rnd,9,29354,0.08757749958428376,0.027117258295291952
disk,within_rnd,10,29354,0.27466487456658556,0.35841793282005857
disk,frozen_coefficients,1,29354,0.08432653994755948,0.14263814130953192
disk,frozen_coefficients,2,29354,0.08434162327812522,0.11388567145874498
disk,frozen_coefficients,3,29354,0.08438029046498487,0.09504667166314643
disk,frozen_coefficients,4,29354,0.08443483466645203,0.0755604006268311
disk,frozen_coefficients,5,29354,0.08448139669551456,0.08768821966341896
disk,frozen_coefficients,6,29354,0.08450832468091903,0.070859167404783
disk,frozen_coefficients,7,29354,0.08452368468553625,0.07259657968249643
disk,frozen_coefficients,8,29354,0.08453252835452763,0.05566532670164202
disk,frozen_coefficients,9,29354,0.09496198818660026,0.027117258295291952
disk,frozen_coefficients,10,29354,0.2809173532101941,0.35841793282005857
network,within_rnd,1,29354,0.03938480412424322,0.10203038768140628
network,within_rnd,2,29354,0.03943677947489904,0.08254411664509095
network,within_rnd,3,29354,0.03950063032785942,0.05699393609048171
network,within_rnd,4,29354,0.03954400044815208,0.046705730053825716
network,within_rnd,5,29354,0.03956601815287902,0.036383457109763574
network,within_rnd,6,29354,0.039575203661129994,0.03362403760986578
network,within_rnd,7,29354,0.039577439118231174,0.03226136131361995
network,within_rnd,8,29354,0.039577729925262,0.009334332629283914
network,within_rnd,9,29354,0.03957774668084459,0.003100088573959256
network,within_rnd,10,29354,0.2901274509784562,0.3176057777474961
network,frozen_coefficients,1,29354,0.04328624668592246,0.10203038768140628
network,frozen_coefficients,2,29354,0.04332980042719476,0.08254411664509095
network,frozen_coefficients,3,29354,0.04338328854017309,0.05699393609048171
network,frozen_coefficients,4,29354,0.04341960880366033,0.046705730053825716
network,frozen_coefficients,5,29354,0.043438043879036006,0.036383457109763574
network,frozen_coefficients,6,29354,0.043445734028542925,0.03362403760986578
network,frozen_coefficients,7,29354,0.04344760550071381,0.03226136131361995
network,frozen_coefficients,8,29354,0.04344784895499051,0.009334332629283914
network,frozen_coefficients,9,29354,0.04344786298220866,0.003100088573959256
network,frozen_coefficients,10,29354,0.28427914824677447,0.3176057777474961
