provisioning_delay_epochs,miss_to_action_cost_ratio,policy,seeds,normalized_cost,cost_sd,missed_event_fraction,event_coverage_fraction,action_rate,severe_event_prevalence
1,5,no_action,100,1.091,0.9406740544777862,0.2182,0.0,0.0,0.2182
1,5,reactive,100,0.732,0.4629374807801924,0.10339999999999999,0.3231762520193731,0.215,0.2182
1,5,satcap_tuned,100,0.9276000000000001,0.6932213196229599,0.14700000000000002,0.23055843349696833,0.19260000000000002,0.2182
1,5,snapshot_tuned,100,0.9806,0.7401307828739296,0.16740000000000002,0.16830029949970304,0.1436,0.2182
1,10,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
1,10,delay_aware_hybrid,100,1.0222,0.42046530261969384,0.0364,0.6784475158042125,0.6581999999999999,0.2182
1,10,no_action,100,2.182,1.8813481089555724,0.2182,0.0,0.0,0.2182
1,10,reactive,100,1.2489999999999999,0.7681086570862932,0.10339999999999999,0.3231762520193731,0.215,0.2182
1,10,satcap_tuned,100,1.4624000000000001,1.2775996432704764,0.10880000000000001,0.42743289048972394,0.37439999999999996,0.2182
1,10,snapshot_tuned,100,1.5508000000000002,1.1547439962908215,0.1116,0.4189062890022052,0.43479999999999996,0.2182
1,20,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
1,20,delay_aware_hybrid,100,1.1572,0.5594948659733215,0.02,0.7632841219176878,0.7572,0.2182
1,20,no_action,100,4.364,3.7626962179111447,0.2182,0.0,0.0,0.2182
1,20,reactive,100,2.283,1.3881180487162168,0.10339999999999999,0.3231762520193731,0.215,0.2182
1,20,satcap_tuned,100,2.1944,2.4226041252079855,0.0842,0.5666775947493811,0.5104,0.2182
1,20,snapshot_tuned,100,2.2852,2.140383464180513,0.085,0.5658113100063722,0.5852,0.2182
1,50,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
1,50,delay_aware_hybrid,100,1.6022,1.2183807601762584,0.0164,0.7838576109286767,0.7822,0.2182
1,50,no_action,100,10.91,9.40674054477786,0.2182,0.0,0.0,0.2182
1,50,reactive,100,5.385,3.2590924869331106,0.10339999999999999,0.3231762520193731,0.215,0.2182
1,50,satcap_tuned,100,4.6622,6.21168003429707,0.0828,0.5764394995112858,0.5222,0.2182
1,50,snapshot_tuned,100,4.6364,5.501897839689849,0.08040000000000001,0.5876208338158959,0.6164000000000001,0.2182
1,100,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
1,100,delay_aware_hybrid,100,2.4222,2.5342102070935972,0.0164,0.7838576109286767,0.7822,0.2182
1,100,no_action,100,21.82,18.81348108955572,0.2182,0.0,0.0,0.2182
1,100,reactive,100,10.555,6.381765928302005,0.10339999999999999,0.3231762520193731,0.215,0.2182
1,100,satcap_tuned,100,8.802200000000001,12.530387434254587,0.0828,0.5764394995112858,0.5222,0.2182
1,100,snapshot_tuned,100,8.6564,11.118839914780008,0.08040000000000001,0.5876208338158959,0.6164000000000001,0.2182
2,1,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,1,delay_aware_hybrid,100,0.3986,0.26554696744491724,0.0928,0.3598412384775818,0.30579999999999996,0.2182
2,1,no_action,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
2,1,reactive,100,0.33140000000000003,0.24409395442300197,0.1188,0.26812209526742486,0.2126,0.2182
2,1,satcap_tuned,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
2,1,snapshot_tuned,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
2,2,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,2,delay_aware_hybrid,100,0.4962,0.3121472716393965,0.0912,0.3668143855076548,0.31379999999999997,0.2182
2,2,no_action,100,0.4364,0.3762696217911144,0.2182,0.0,0.0,0.2182
2,2,reactive,100,0.45020000000000004,0.31308816972252723,0.1188,0.26812209526742486,0.2126,0.2182
2,2,satcap_tuned,100,0.4482,0.37112000836125847,0.215,0.011095238095238096,0.0182,0.2182
2,2,snapshot_tuned,100,0.4376,0.3761181847357144,0.218,0.0005555555555555556,0.0016,0.2182
2,5,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,5,delay_aware_hybrid,100,0.8240000000000001,0.4149528389899973,0.078,0.45987546673082774,0.434,0.2182
2,5,no_action,100,1.091,0.9406740544777862,0.2182,0.0,0.0,0.2182
2,5,reactive,100,0.8066,0.5317556589337632,0.1188,0.26812209526742486,0.2126,0.2182
2,5,satcap_tuned,100,1.0632000000000001,0.8434978639360307,0.1838,0.1374670340666948,0.1442,0.2182
2,5,snapshot_tuned,100,1.068,0.8743251365736001,0.1856,0.15823325396938107,0.14,0.2182
2,10,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,10,delay_aware_hybrid,100,1.0344,0.4300254162091568,0.035,0.6611902762007879,0.6844,0.2182
2,10,no_action,100,2.182,1.8813481089555724,0.2182,0.0,0.0,0.2182
2,10,reactive,100,1.4006,0.9066642379646614,0.1188,0.26812209526742486,0.2126,0.2182
2,10,satcap_tuned,100,1.7938,1.5089623031485022,0.1416,0.35377688570308374,0.3778,0.2182
2,10,snapshot_tuned,100,1.7096,1.431655056925446,0.13040000000000002,0.4098197345785819,0.4056,0.2182
2,20,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,20,delay_aware_hybrid,100,1.2436,0.6516265894829738,0.022600000000000002,0.7493474516706569,0.7916,0.2182
2,20,no_action,100,4.364,3.7626962179111447,0.2182,0.0,0.0,0.2182
2,20,reactive,100,2.5886,1.663806649120193,0.1188,0.26812209526742486,0.2126,0.2182
2,20,satcap_tuned,100,2.611,2.8969274911341647,0.1058,0.48783008064354666,0.495,0.2182
2,20,snapshot_tuned,100,2.5434,2.74791389011278,0.0986,0.5710349812276848,0.5714,0.2182
2,50,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,50,delay_aware_hybrid,100,1.8136,1.5629469187106357,0.0202,0.7587522135754188,0.8036,0.2182
2,50,no_action,100,10.91,9.40674054477786,0.2182,0.0,0.0,0.2182
2,50,reactive,100,6.1526,3.943117420252534,0.1188,0.26812209526742486,0.2126,0.2182
2,50,satcap_tuned,100,5.7098,7.439795530480226,0.10400000000000001,0.49616341397688,0.5097999999999999,0.2182
2,50,snapshot_tuned,100,5.0607999999999995,6.964212657536668,0.0888,0.6126870280113105,0.6208,0.2182
2,100,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
2,100,delay_aware_hybrid,100,2.8236000000000003,3.1902001203812915,0.0202,0.7587522135754188,0.8036,0.2182
2,100,no_action,100,21.82,18.81348108955572,0.2182,0.0,0.0,0.2182
2,100,reactive,100,12.0926,7.74504111406685,0.1188,0.26812209526742486,0.2126,0.2182
2,100,satcap_tuned,100,10.9098,15.012275514431918,0.10400000000000001,0.49616341397688,0.5097999999999999,0.2182
2,100,snapshot_tuned,100,9.5008,14.06793586691223,0.0888,0.6126870280113105,0.6208,0.2182
3,1,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,1,delay_aware_hybrid,100,0.39740000000000003,0.25783331864214176,0.10300000000000001,0.3122280604191795,0.2944,0.2182
3,1,no_action,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
3,1,reactive,100,0.3358,0.2471215298290509,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,1,satcap_tuned,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
3,1,snapshot_tuned,100,0.2182,0.1881348108955572,0.2182,0.0,0.0,0.2182
3,2,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,2,delay_aware_hybrid,100,0.5146000000000001,0.3108912570938169,0.0998,0.3404900371466294,0.315,0.2182
3,2,no_action,100,0.4364,0.3762696217911144,0.2182,0.0,0.0,0.2182
3,2,reactive,100,0.4618,0.3216509809332991,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,2,satcap_tuned,100,0.4388,0.3743904945698307,0.21539999999999998,0.005156739811912225,0.008,0.2182
3,2,snapshot_tuned,100,0.4388,0.3751774798867083,0.2152,0.008302681992337165,0.0084,0.2182
3,5,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,5,delay_aware_hybrid,100,0.8490000000000001,0.4327723641730363,0.0898,0.39703826608473525,0.4,0.2182
3,5,no_action,100,1.091,0.9406740544777862,0.2182,0.0,0.0,0.2182
3,5,reactive,100,0.8398,0.5548573026126864,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,5,satcap_tuned,100,1.0628,0.833161291331839,0.1832,0.14171829366250902,0.14679999999999999,0.2182
3,5,snapshot_tuned,100,1.0772,0.8174610607598297,0.1924,0.09744632737192589,0.1152,0.2182
3,10,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,10,delay_aware_hybrid,100,1.1174000000000002,0.5103665151613885,0.0446,0.6432892810833327,0.6714,0.2182
3,10,no_action,100,2.182,1.8813481089555724,0.2182,0.0,0.0,0.2182
3,10,reactive,100,1.4698,0.9518403015190939,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,10,satcap_tuned,100,1.7690000000000001,1.489658289065589,0.1426,0.3253347655640132,0.34299999999999997,0.2182
3,10,snapshot_tuned,100,1.8004,1.3924906252517977,0.14200000000000002,0.354809473743864,0.3804,0.2182
3,20,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,20,delay_aware_hybrid,100,1.3672,0.7346683165575711,0.028000000000000004,0.7538082391137899,0.8072,0.2182
3,20,no_action,100,4.364,3.7626962179111447,0.2182,0.0,0.0,0.2182
3,20,reactive,100,2.7298,1.7514911280726406,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,20,satcap_tuned,100,2.7484,2.7561606732129493,0.1118,0.46967000554443106,0.5124,0.2182
3,20,snapshot_tuned,100,2.7072000000000003,2.461635360175151,0.1074,0.49653444379958517,0.5592,0.2182
3,50,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,50,delay_aware_hybrid,100,1.9394,1.6947439960422377,0.022000000000000002,0.7807359988540498,0.8393999999999999,0.2182
3,50,no_action,100,10.91,9.40674054477786,0.2182,0.0,0.0,0.2182
3,50,reactive,100,6.5098,4.156503479093597,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,50,satcap_tuned,100,5.9362,6.979670736930188,0.1082,0.47824143411585956,0.5262,0.2182
3,50,snapshot_tuned,100,5.4226,6.246774783191657,0.0964,0.540282693099305,0.6026,0.2182
3,100,always_on,100,1.0,0.0,0.0,0.92,1.0,0.2182
3,100,delay_aware_hybrid,100,3.0394,3.501219937465376,0.022000000000000002,0.7807359988540498,0.8393999999999999,0.2182
3,100,no_action,100,21.82,18.81348108955572,0.2182,0.0,0.0,0.2182
3,100,reactive,100,12.809800000000001,8.16720937961707,0.126,0.24067238020121734,0.20980000000000001,0.2182
3,100,satcap_tuned,100,11.346200000000001,14.107210763122227,0.1082,0.47824143411585956,0.5262,0.2182
3,100,snapshot_tuned,100,10.2426,12.646096105402279,0.0964,0.540282693099305,0.6026,0.2182
