provider,threshold_quantile,threshold,window_minutes,method,event_windows,recall,moving_block_ci_low,moving_block_ci_high
Google 2019,0.95,0.528999460609866,60,snapshot,115,0.3652173913043478,0.2631578947368421,0.4554767287752397
Google 2019,0.95,0.528999460609866,60,mean,115,0.3130434782608696,0.1858338655232187,0.43413544358311795
Google 2019,0.95,0.528999460609866,60,p95,115,0.8,0.7075352582428054,0.8730351363846509
Google 2019,0.95,0.528999460609866,60,maximum,115,1.0,1.0,1.0
Alibaba 2018,0.95,0.5754546775895318,60,snapshot,39,0.41025641025641024,0.2857142857142857,0.5
Alibaba 2018,0.95,0.5754546775895318,60,mean,39,0.1794871794871795,0.1111111111111111,0.25
Alibaba 2018,0.95,0.5754546775895318,60,p95,39,0.6666666666666666,0.5134805537244561,0.7907218992248062
Alibaba 2018,0.95,0.5754546775895318,60,maximum,39,1.0,1.0,1.0
