mode,trials,requests,wire_bytes,points,elapsed_seconds,bytes_per_worker_window,requests_per_worker_window,wire_reduction_vs_raw
raw,3,972,341172,1944,62.67968147900001,7107.75,20.25,0.0
satcap,3,60,28860,240,61.91480210599957,601.25,1.25,0.9154092363968908
