seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260727,1,2,2,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.26,1.0
20260727,1,2,5,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.4,
20260727,1,2,5,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,1,2,5,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.46,
20260727,1,2,5,snapshot_tuned,50,0.08,46.00000000000003,0.02,0.75,0.32,0.42000000000000004,0.12333733132020243
20260727,1,2,5,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.08,0.38,0.11987948039405671
20260727,1,2,5,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.5,1.0
20260727,1,2,10,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.8,
20260727,1,2,10,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,1,2,10,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.8600000000000001,
20260727,1,2,10,snapshot_tuned,50,0.08,46.00000000000003,0.02,0.75,0.32,0.52,0.12333733132020243
20260727,1,2,10,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.08,0.6799999999999999,0.11987948039405671
20260727,1,2,10,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.38,0.78,0.11987948039405671
20260727,1,2,20,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,1.6,
20260727,1,2,20,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,1,2,20,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,1.6600000000000001,
20260727,1,2,20,snapshot_tuned,50,0.08,46.00000000000003,0.02,0.75,0.32,0.72,0.12333733132020243
20260727,1,2,20,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.08,1.28,0.11987948039405671
20260727,1,2,20,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.38,1.1800000000000002,0.11987948039405671
20260727,1,2,50,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,4.0,
20260727,1,2,50,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,1,2,50,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,4.06,
20260727,1,2,50,snapshot_tuned,50,0.08,46.00000000000003,0.02,0.75,0.32,1.32,0.12333733132020243
20260727,1,2,50,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.08,3.08,0.11987948039405671
20260727,1,2,50,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.38,2.38,0.11987948039405671
20260727,1,2,100,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,8.0,
20260727,1,2,100,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,1,2,100,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,8.06,
20260727,1,2,100,snapshot_tuned,50,0.08,46.00000000000003,0.02,0.75,0.32,2.32,0.12333733132020243
20260727,1,2,100,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.08,6.08,0.11987948039405671
20260727,1,2,100,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.38,4.38,0.11987948039405671
20260727,2,3,1,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,
20260727,2,3,1,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,1,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.14,
20260727,2,3,1,snapshot_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,1.0
20260727,2,3,1,satcap_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.08,1.0
20260727,2,3,1,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.18,1.0
20260727,2,3,2,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,
20260727,2,3,2,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,2,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.22,
20260727,2,3,2,snapshot_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,1.0
20260727,2,3,2,satcap_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.16,1.0
20260727,2,3,2,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.26,1.0
20260727,2,3,5,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.4,
20260727,2,3,5,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,5,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.46,
20260727,2,3,5,snapshot_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.4,1.0
20260727,2,3,5,satcap_tuned,50,0.08,46.00000000000003,0.08,0.0,0.0,0.4,1.0
20260727,2,3,5,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.5,1.0
20260727,2,3,10,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.8,
20260727,2,3,10,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,10,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.8600000000000001,
20260727,2,3,10,snapshot_tuned,50,0.08,46.00000000000003,0.0,1.0,0.7,0.7,0.06728008123759634
20260727,2,3,10,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,0.8999999999999999,0.09862645189311617
20260727,2,3,10,delay_aware_hybrid,50,0.08,46.00000000000003,0.06,0.25,0.7,1.2999999999999998,0.08933655893910339
20260727,2,3,20,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,1.6,
20260727,2,3,20,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,2,3,20,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,1.6600000000000001,
20260727,2,3,20,snapshot_tuned,50,0.08,46.00000000000003,0.0,1.0,0.7,0.7,0.06728008123759634
20260727,2,3,20,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,1.5,0.09862645189311617
20260727,2,3,20,delay_aware_hybrid,50,0.08,46.00000000000003,0.06,0.25,0.7,1.9,0.08933655893910339
20260727,2,3,50,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,4.0,
