policy,trials,p95_latency_ms,p99_latency_ms,sla_violation_fraction,scale_fraction,mean_epoch_p95_ms,worker_epoch_cost
no_action,2,58.2460256250158,73.96839892488171,0.5961033703466438,0.0,24.023732478004604,100.0
reactive,2,28.417969049911562,44.08605035993219,0.27634751583742617,0.45999999999999996,10.496332036007175,169.0
satcap,2,27.694869625031508,44.0691415300239,0.277090451277671,0.45999999999999996,10.546233542494974,169.0
snapshot,2,30.60068389996206,60.05817683006394,0.26199596056658836,0.55,10.193023936000028,182.5
