panel,archive,bytes,expected_sha256,observed_sha256,verified
GWA-T-12-fastStorage,gwa_t_12_fastStorage.zip,134047207,11313f528a0cbcbe57e63162f8ae5a41a9c7e7c1a79872e294ff3c5bbaa2e671,11313f528a0cbcbe57e63162f8ae5a41a9c7e7c1a79872e294ff3c5bbaa2e671,True
GWA-T-12-Rnd,gwa_t_12_rnd.zip,163099172,d3d9ddebb689c0b5463f2e4cfd8956e84bdcdf138b4476320855393e2b229a06,d3d9ddebb689c0b5463f2e4cfd8956e84bdcdf138b4476320855393e2b229a06,True
